train,Stations
d1781,成都东-资阳北-隆昌北-永川东-重庆西-綦江东-桐梓东-遵义-息烽-贵阳东-都匀东-桂林西-桂林北-桂林-永福南-鹿寨北-柳州-来宾北-南宁东
d1782,南宁东-宾阳-来宾北-柳州-鹿寨北-桂林-桂林北-三江南-榕江-都匀东-贵阳东-遵义南-遵义-桐梓东-綦江东-重庆西-内江北-资中北-资阳北-成都东
d1785,成都东-双流西-眉山东-乐山-毕节-贵阳东-都匀东-从江-桂林北-桂林-柳州-来宾北-宾阳-南宁东
d1786,南宁东-来宾北-柳州-桂林北-都匀东-贵阳东-毕节-宜宾西-乐山-眉山东-成都东
d1797,重庆西-赶水东-桐梓东-遵义南-贵阳东-五通-桂林北-柳州-来宾北-南宁东-钦州东-北海
d1798,北海-合浦-钦州东-南宁-宾阳-来宾北-柳州-桂林-桂林北-桂林西-从江-贵阳东-遵义-桐梓东-赶水东-重庆西
d18,沈阳南-沈阳-锦州南-葫芦岛北-山海关-秦皇岛-唐山北-北京
d1801,成都东-彭山北-宜宾西-大方-贵阳东-都匀东-桂林西-肇庆东-广州南
d1806,广州南-三水南-肇庆东-贺州-恭城-阳朔-桂林西-都匀东-贵阳东-毕节-乐山-双流机场-成都南-成都东
d1809,成都东-遂宁-潼南-重庆西-桐梓东-贵阳东-龙洞堡-龙里北-都匀东-桂林西-恭城-贺州-三水南-广州南
d1810,广州南-佛山西-肇庆东-贺州-恭城-阳朔-桂林西-都匀东-龙洞堡-贵阳东-黔西-毕节-宜宾西-乐山-双流机场-成都东
d1817,成都东-合川-重庆西-贵阳东-桂林西-恭城-贺州-怀集-广宁-肇庆东-佛山西-广州南
d1818,广州南-肇庆东-怀集-贺州-恭城-桂林西-三江南-都匀东-贵阳东-遵义-赶水东-綦江东-重庆西-潼南-成都东
d1821,成都东-新津-乐山-犍为-兴文-毕节-贵阳东-榕江-桂林西-恭城-钟山西-贺州-怀集-肇庆东-佛山西-广州南
d1822,广州南-怀集-贺州-恭城-阳朔-桂林西-都匀东-贵阳东-遵义-桐梓东-赶水东-重庆西-永川东-隆昌北-内江北-成都东
d1825,成都东-双流机场-新津南-宜宾西-兴文-毕节-贵阳东-三都县-从江-三江南-桂林西-肇庆东-广州南
d1826,广州南-三水南-肇庆东-广宁-贺州-恭城-桂林西-三江南-贵阳东-毕节-眉山东-双流机场-成都东
d1833,成都东-资中北-内江北-荣昌北-重庆西-珞璜南-遵义-贵阳东-都匀东-桂林西-恭城-贺州-肇庆东-佛山西-广州南
d1834,广州南-佛山西-贺州-恭城-桂林西-五通-榕江-都匀东-龙里北-贵阳东-修文县-遵义-重庆西-合川-潼南-遂宁-成都东
d1841,成都东-成都南-眉山东-宜宾西-长宁-毕节-黔西-贵阳东-榕江-从江-桂林西-钟山西-肇庆东-广州南-中山-珠海
d1842,珠海-中山-广州南-佛山西-怀集-贺州-钟山西-桂林西-从江-都匀东-贵阳东-宜宾西-泥溪-青神-眉山东-新津南-成都东
d1849,广州-肇庆东-怀集-贺州-恭城-桂林西-都匀东-贵阳东-遵义南-遵义-珞璜南-重庆西-璧山-荣昌北-内江北-成都东-罗江东-绵阳-江油-剑门关-广元
d1851,广元-青川-江油北-江油-绵阳-德阳-成都东-简阳南-内江北-隆昌北-永川东-重庆西-綦江东-遵义-贵阳东-都匀东-榕江-三江南-桂林西-钟山西-贺州-广州
d1853,广州-佛山西-桂林西-榕江-都匀东-贵阳东-黔西-毕节-威信-兴文-宜宾西-青神-成都东-青白江东-德阳-绵阳
d1855,绵阳-罗江东-德阳-广汉北-成都东-宜宾西-贵阳东-龙洞堡-都匀东-从江-三江南-桂林西-贺州-怀集-肇庆东-三水南-广州
d1857,广州-佛山西-三水南-肇庆东-广宁-贺州-阳朔-桂林西-都匀东-贵阳东-毕节-兴文-乐山-眉山东-成都东-德阳
d1859,德阳-青白江东-新都东-成都东-眉山东-乐山-毕节-贵阳东-龙里北-榕江-三江南-桂林西-阳朔-贺州-广宁-佛山西-广州
d1861,重庆西-桐梓东-遵义-息烽-贵阳东-龙洞堡-桂林西-恭城-贺州-怀集-肇庆东-广州南
d1862,广州南-肇庆东-贺州-阳朔-桂林西-都匀东-贵阳东-修文县-遵义-珞璜南-重庆西
d1864,广州南-佛山西-广宁-贺州-恭城-桂林西-从江-龙里北-贵阳东-遵义南-遵义-重庆西
d1865,重庆西-珞璜南-娄山关南-贵阳东-龙洞堡-五通-桂林西-贺州-肇庆东-广州南
d1867,重庆西-娄山关南-贵阳东-都匀东-三都县-从江-桂林西-钟山西-贺州-怀集-肇庆东-佛山西-广州南
d1868,广州南-佛山西-肇庆东-贺州-桂林西-三江南-都匀东-贵阳东-珞璜南-重庆西
d1871,重庆西-赶水东-桐梓东-遵义-贵阳东-龙洞堡-都匀东-桂林西-恭城-贺州-肇庆东-广州南
d1872,广州南-三水南-肇庆东-怀集-贺州-桂林西-榕江-贵阳东-遵义南-遵义-娄山关南-桐梓东-綦江东-重庆西
d1874,广州南-肇庆东-广宁-恭城-桂林西-三江南-都匀东-贵阳东-遵义-桐梓东-重庆西
d1875,重庆西-綦江东-修文县-贵阳东-龙洞堡-从江-桂林西-阳朔-贺州-广州南
d1877,重庆西-赶水东-遵义-贵阳东-龙里北-从江-桂林西-恭城-贺州-肇庆东-广州南
d1878,广州南-三水南-贺州-恭城-阳朔-桂林西-三都县-贵阳东-遵义-桐梓东-重庆西
d1881,万州北-梁平南-垫江-重庆北-重庆西-珞璜南-綦江东-遵义-贵阳东-贵定县-都匀东-桂林西-恭城-贺州-广州南
d1882,广州南-肇庆东-怀集-贺州-阳朔-桂林西-三江南-都匀东-贵阳东-遵义-重庆西-重庆北-长寿湖-垫江-梁平南-万州北
d19,北京-唐山北-北戴河-葫芦岛北-盘锦北-沈阳北-公主岭南-长春
d1901,太原南-洪洞西-临汾西-侯马西-运城北-渭南北-西安北-鄠邑-佛坪-城固北-汉中-广元-剑门关-绵阳-成都东
d1902,成都东-德阳-绵阳-青莲-剑门关-广元-宁强南-汉中-佛坪-阿房宫-西安北-渭南北-大荔-永济北-闻喜西-襄汾西-洪洞西-平遥古城-太谷西-太原南
d1903,太原南-太谷西-平遥古城-介休东-襄汾西-闻喜西-运城北-永济北-渭南北-西安北-鄠邑-洋县西-汉中-广元-江油-绵阳-成都东
d1904,成都东-德阳-绵阳-江油-广元-朝天-汉中-城固北-阿房宫-西安北-渭南北-大荔-永济北-闻喜西-襄汾西-临汾西-介休东-平遥古城-太原南
d1905,太原南-灵石东-临汾西-运城北-大荔-西安北-洋县西-汉中-广元-江油-绵阳-成都东
d1906,成都东-德阳-罗江东-绵阳-江油-广元-宁强南-汉中-洋县西-西安北-渭南北-大荔-运城北-临汾西-霍州东-太原南
d1953,重庆西-武胜-南充北-南部-阆中-苍溪-广元-朝天-宁强南-汉中-洋县西-佛坪-阿房宫-西安北-渭南北-大荔-永济北-运城北-襄汾西-临汾西-霍州东-介休东-太原南
d1954,太原南-太谷西-祁县东-介休东-侯马西-运城北-永济北-大荔-渭南北-西安北-鄠邑-洋县西-城固北-汉中-广元-苍溪-阆中-南充北-重庆西
d1957,贵阳北-遵义-綦江东-重庆西-合川-南充北-阆中-广元-汉中-洋县西-鄠邑-阿房宫-西安北-大荔-永济北-运城北-灵石东-介休东-祁县东-太谷西-太原南
d1958,太原南-平遥古城-洪洞西-侯马西-运城北-大荔-渭南北-西安北-阿房宫-鄠邑-汉中-广元-阆中-南部-南充北-合川-重庆西-綦江东-桐梓东-遵义-贵阳北
d1961,重庆西-武胜-南充北-阆中-苍溪-广元-汉中-城固北-鄠邑-西安北-渭南北-大荔-永济北-运城北-襄汾西-平遥古城-祁县东-太原南
d1962,太原南-晋中-灵石东-临汾西-运城北-永济北-渭南北-西安北-鄠邑-汉中-广元-苍溪-阆中-南部-南充北-武胜-重庆西
d1965,重庆西-合川-武胜-阆中-苍溪-广元-汉中-洋县西-西安北
d1969,重庆西-南部-苍溪-广元-汉中-洋县西-西安北
d1970,西安北-汉中-广元-阆中-武胜-重庆北
d1977,重庆北-合川-南充北-南部-阆中-广元-汉中-城固北-鄠邑-西安北
d1978,西安北-佛坪-城固北-汉中-宁强南-广元-阆中-南部-南充北-重庆北
d1982,西安北-阿房宫-鄠邑-汉中-广元-苍溪-阆中-南充北-武胜-重庆北
d1985,重庆北-南充北-南部-阆中-广元-汉中-西安北
d1986,西安北-洋县西-汉中-广元-苍溪-阆中-南充北-重庆西
d1989,重庆北-武胜-南充北-广元-宁强南-汉中-西安北
d1990,西安北-阿房宫-鄠邑-汉中-广元-苍溪-阆中-南充北-重庆西
d2,沈阳南-沈阳-辽中-锦州南-唐山北-北京
d20,长春-昌图西-铁岭西-沈阳北-绥中北-北京
d2002,临汾西-洪洞西-灵石东-平遥古城-太原南-阳泉北-石家庄-正定机场-高碑店东-北京西
d2003,北京西-保定东-定州东-石家庄-阳泉北-太原南-晋中-祁县东-介休东-临汾西-襄汾西-闻喜西-运城北
d2004,运城北-闻喜西-襄汾西-临汾西-洪洞西-霍州东-介休东-平遥古城-祁县东-太谷西-太原南-阳泉北-石家庄-正定机场-保定东-高碑店东-北京西
d2005,北京西-涿州东-保定东-石家庄-阳泉北-太原南-平遥古城-灵石东-霍州东-洪洞西-临汾西
d21,北京-北戴河-秦皇岛-山海关-绥中北-葫芦岛北-锦州南-台安-沈阳北-铁岭西-四平东-公主岭南-长春-吉林-蛟河西-敦化-安图西-延吉西-图们北-珲春
d2187,汉口-红安西-六安-合肥南-南京南-江宁-溧水-溧阳-宜兴-长兴-湖州-杭州
d2188,杭州-德清-湖州-宜兴-溧水-南京南-合肥南-六安-麻城北-红安西-汉口-荆州-宜昌东
d2191,宜昌东-荆州-潜江-天门南-汉口-六安-合肥南-南京南-溧水-瓦屋山-宜兴-湖州-杭州
d2192,杭州-湖州-宜兴-溧阳-南京南-合肥南-六安-汉口
d2195,汉口-红安西-麻城北-金寨-六安-合肥南-南京南-宜兴-湖州-杭州东-绍兴东-宁波
d2196,宁波-余姚北-绍兴北-杭州东-宜兴-溧阳-溧水-江宁-南京南-合肥南-六安-麻城北-红安西-汉口-仙桃西-潜江-荆州-宜昌东
d22,珲春-图们北-延吉西-安图西-敦化-蛟河西-吉林-长春-四平东-开原西-沈阳北-盘锦北-山海关-秦皇岛-唐山北-蓟州-北京
d2205,成都东-潼南-合川-重庆北-涪陵北-丰都-石柱县-恩施-宜昌东-荆州-仙桃西-汉川-汉口-六安-合肥南-扬州-泰州-南通西-上海虹桥
d2206,上海虹桥-张家港-南通西-泰州-扬州-合肥南-六安-汉口-潜江-荆州-宜昌东-巴东-恩施-利川-丰都-重庆北-合川-潼南-成都东
d2211,重庆北-涪陵北-利川-恩施-宜昌东-荆州-潜江-汉川-汉口-红安西-金寨-六安-合肥南-南京南-镇江-丹阳-常州-无锡-苏州-昆山南-上海虹桥
d2215,重庆北-长寿北-丰都-利川-恩施-宜昌东-枝江北-荆州-潜江-天门南-汉口-红安西-金寨-六安-合肥南-泰州-海安-如皋-张家港-常熟-太仓-上海虹桥
d2216,上海虹桥-太仓-常熟-张家港-如皋-海安-泰州-扬州-合肥南-六安-金寨-红安西-汉口-荆州-宜昌东-巴东-建始-恩施-利川-丰都-长寿北-重庆北
d2221,成都东-潼南-合川-重庆北-涪陵北-利川-恩施-宜昌东-荆州-天门南-汉川-汉口-麻城北-金寨-六安-合肥南-南京南-江宁-溧水-溧阳-宜兴-长兴-湖州-德清-杭州东
d2222,杭州东-湖州-宜兴-溧阳-江宁-南京南-合肥南-六安-麻城北-汉口-天门南-荆州-宜昌东-建始-恩施-利川-长寿北-重庆北-成都东
d2225,重庆北-涪陵北-丰都-恩施-宜昌东-荆州-潜江-汉口-武汉-鄂州-大冶北-阳新-共青城-永修-南昌西-抚州-南城-建宁县北-将乐-三明北-尤溪-永泰-福州
d2226,福州-尤溪-三明北-将乐-建宁县北-南丰-南城-抚州-南昌西-永修-共青城-德安-阳新-白沙铺-黄石北-鄂州-武汉-汉口-汉川-天门南-潜江-荆州-宜昌东-恩施-利川-石柱县-涪陵北-重庆北
d2231,重庆北-长寿北-恩施-建始-宜昌东-荆州-潜江-天门南-汉川-汉口-武汉-鄂州-黄石北-阳新-永修-南昌西-抚州-南丰-建宁县北-泰宁-三明北-莆田-泉州-厦门北
d2232,厦门北-晋江-泉州-尤溪-三明北-将乐-建宁县北-南城-抚州-南昌西-共青城-庐山-阳新-大冶北-黄石北-鄂州-武汉-汉口-汉川-天门南-宜昌东-巴东-恩施-利川-石柱县-涪陵北-重庆北
d2236,南昌-永修-共青城-德安-庐山-瑞昌西-阳新-大冶北-黄石北-鄂州-武汉-汉口-潜江-荆州-宜昌东-巴东-恩施-利川-石柱县-丰都-长寿北-重庆北-成都东
d2241,成都东-大英东-遂宁-合川-重庆北-长寿北-涪陵北-利川-恩施-建始-宜昌东-枝江北-荆州-潜江-汉川-汉口-武汉-鄂州-黄石北-大冶北-阳新-德安-南昌西-抚州-泰宁-三明北-尤溪-永泰-福州
d2242,福州-尤溪-三明北-泰宁-建宁县北-抚州-南昌西-庐山-瑞昌西-武汉-汉口-汉川-潜江-荆州-宜昌东-巴东-恩施-利川-涪陵北-重庆北-成都东
d2245,重庆北-涪陵北-石柱县-恩施-宜昌东-荆州-仙桃西-汉口-麻城北-六安-合肥南-全椒-南京南-江宁-溧水-溧阳-湖州-杭州东
d2253,成都东-遂宁-潼南-合川-重庆北-涪陵北-石柱县-恩施-巴东-宜昌东-荆州-仙桃西-天门南-汉口-红安西-麻城北-金寨-六安-合肥南-南京南-溧水-溧阳-宜兴
d2254,宜兴-溧阳-溧水-句容西-江宁-南京南-合肥南-六安-汉口-汉川-天门南-荆州-宜昌东-恩施-利川-丰都-涪陵北-重庆北-潼南-成都东
d2259,汉口-汉川-潜江-荆州-宜昌东-建始-恩施-利川-石柱县-涪陵北-重庆北-遂宁-成都东
d2260,成都东-潼南-重庆北-长寿北-石柱县-恩施-建始-宜昌东-荆州-潜江-仙桃西-天门南-汉口
d2261,成都东-合川-重庆北-涪陵北-恩施-建始-宜昌东-枝江北-荆州-潜江-汉川-汉口-红安西-麻城北-六安-合肥南-巢湖东-芜湖-宣城-安吉-湖州-杭州东
d2262,杭州东-安吉-宣城-芜湖-芜湖北-巢湖东-柘皋-肥东-合肥南-六安-汉口-天门南-仙桃西-宜昌东-建始-恩施-利川-石柱县-涪陵北-重庆北-合川-潼南-遂宁-成都东
d2267,重庆北-涪陵北-丰都-恩施-建始-宜昌东-荆州-潜江-天门南-汉川-汉口-红安西-麻城北-金寨-合肥南-扬州-泰州-海安-如皋-南通
d2271,南京南-合肥南-六安-红安西-汉口-汉川-天门南-潜江-宜昌东-建始-恩施-利川-丰都-重庆北
d2272,重庆北-涪陵北-石柱县-利川-恩施-宜昌东-荆州-潜江-天门南-汉川-汉口-麻城北-六安-合肥南-南京南
d2281,南京-丹阳-常州-无锡-苏州-昆山南-上海虹桥-嘉善南-嘉兴南-桐乡-杭州东-绍兴东-余姚北-宁波-台州-乐清-温州南-瑞安-平阳-苍南-霞浦-连江-福州南-莆田-晋江-厦门北-云霄-诏安-潮汕-陆丰-惠州南-深圳北
d2282,深圳北-惠州南-汕尾-潮阳-潮汕-饶平-漳浦-漳州-厦门北-泉州-涵江-福州南-罗源-宁德-福安-瑞安-温州南-雁荡山-台州-宁海-宁波-余姚北-绍兴东-绍兴北-杭州东-海宁西-桐乡-嘉善南-上海虹桥-苏州-无锡-常州-南京
d2283,上海虹桥-嘉兴南-桐乡-杭州东-绍兴北-余姚北-宁波-临海-台州-乐清-温州南-平阳-苍南-霞浦-罗源-福州南-泉州-厦门北-漳州-云霄-诏安-潮汕-汕尾-深圳北
d2284,深圳北-深圳坪山-惠东-汕尾-潮阳-潮汕-诏安-云霄-厦门北-晋江-泉州-涵江-福州南-连江-宁德-福鼎-温州南-乐清-台州-三门县-宁海-宁波-余姚北-绍兴北-杭州东-海宁西-嘉兴南-上海虹桥
d2285,上海虹桥-松江南-嘉兴南-余杭-杭州东-绍兴北-余姚北-宁波-三门县-台州-绅坊-永嘉-温州南-平阳-福鼎-宁德-福州南-莆田-泉州-厦门北-漳浦-云霄-潮汕-葵潭-惠州南-深圳北
d2286,深圳北-深圳坪山-惠州南-汕尾-普宁-潮汕-漳浦-漳州-厦门北-泉州-莆田-涵江-福清-福州南-连江-宁德-福安-温州南-永嘉-乐清-临海-宁海-宁波-余姚北-绍兴东-绍兴北-杭州东-余杭-嘉兴南-上海虹桥
d2287,上海虹桥-金山北-嘉兴南-杭州东-绍兴北-绍兴东-宁波-奉化-台州-绅坊-永嘉-温州南-福安-宁德-福州南-莆田-泉州-厦门北-潮汕-葵潭-鲘门-深圳北
d2288,深圳北-惠州南-陆丰-潮汕-饶平-诏安-漳浦-厦门北-泉州-仙游-福州南-罗源-福安-霞浦-苍南-温州南-乐清-雁荡山-奉化-宁波-余姚北-绍兴东-绍兴北-杭州东-桐乡-上海虹桥
d2293,南京南-江宁-溧水-宜兴-湖州-杭州东-绍兴东-宁波-奉化-三门县-临海-台州-温州南-太姥山-宁德-福州南-惠安-厦门北-漳浦-云霄-饶平-潮汕-普宁-陆丰-深圳北
d2294,深圳北-鲘门-潮阳-潮汕-诏安-漳州-厦门北-惠安-福州南-连江-宁德-温州南-宁波-余姚北-绍兴北-杭州东-宜兴-溧水-南京南
